IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.86.12,2,2,0.00,233.27,0.00,N/A
104.21.24.135,2,2,0.00,233.31,0.00,N/A
104.16.81.65,2,2,0.00,233.48,0.00,N/A
104.16.85.88,2,2,0.00,233.56,0.00,N/A
104.16.76.208,2,2,0.00,233.60,0.00,N/A
172.64.159.6,2,2,0.00,233.79,0.00,N/A
104.16.12.122,2,2,0.00,233.84,0.00,N/A
104.16.84.101,2,2,0.00,234.30,0.00,N/A
162.159.94.152,2,2,0.00,234.53,0.00,N/A
162.159.160.199,2,2,0.00,234.64,0.00,N/A
104.16.79.14,2,2,0.00,234.99,0.00,N/A
104.16.82.182,2,2,0.00,234.99,0.00,N/A
172.65.64.229,2,2,0.00,235.39,0.00,N/A
172.67.182.86,2,2,0.00,235.60,0.00,N/A
104.19.83.132,2,2,0.00,235.82,0.00,N/A
162.159.27.140,2,2,0.00,235.83,0.00,N/A
104.19.77.1,2,2,0.00,235.98,0.00,N/A
172.67.181.203,2,2,0.00,236.00,0.00,N/A
172.66.193.153,2,2,0.00,236.04,0.00,N/A
104.16.10.66,2,2,0.00,236.20,0.00,N/A
104.19.74.194,2,2,0.00,236.37,0.00,N/A
104.19.69.45,2,2,0.00,236.79,0.00,N/A
104.19.75.195,2,2,0.00,236.79,0.00,N/A
104.19.99.38,2,2,0.00,237.06,0.00,N/A
104.19.97.130,2,2,0.00,237.15,0.00,N/A
162.159.194.145,2,2,0.00,237.19,0.00,N/A
162.159.14.40,2,2,0.00,237.33,0.00,N/A
104.19.101.80,2,2,0.00,237.71,0.00,N/A
162.159.8.192,2,2,0.00,237.94,0.00,N/A
162.159.10.88,2,2,0.00,237.94,0.00,N/A
104.16.50.122,2,2,0.00,238.62,0.00,N/A
162.159.1.20,2,2,0.00,238.69,0.00,N/A
172.65.61.101,2,2,0.00,238.76,0.00,N/A
172.66.192.98,2,2,0.00,238.81,0.00,N/A
162.159.20.23,2,2,0.00,239.26,0.00,N/A
162.159.16.192,2,2,0.00,239.79,0.00,N/A
162.159.6.162,2,2,0.00,239.79,0.00,N/A
162.159.13.79,2,2,0.00,239.79,0.00,N/A
172.66.155.74,2,2,0.00,239.95,0.00,N/A
162.159.2.184,2,2,0.00,240.04,0.00,N/A
104.16.62.165,2,2,0.00,240.95,0.00,N/A
162.159.95.64,2,2,0.00,241.54,0.00,N/A
104.16.11.166,2,2,0.00,241.57,0.00,N/A
162.159.91.107,2,2,0.00,241.76,0.00,N/A
162.159.90.137,2,2,0.00,241.76,0.00,N/A
162.159.9.56,2,2,0.00,241.86,0.00,N/A
162.159.81.157,2,2,0.00,242.06,0.00,N/A
162.159.93.217,2,2,0.00,242.06,0.00,N/A
104.16.74.157,2,2,0.00,243.56,0.00,N/A
104.19.61.244,2,2,0.00,243.87,0.00,N/A
104.16.73.59,2,2,0.00,244.12,0.00,N/A
104.16.47.152,2,2,0.00,244.33,0.00,N/A
162.159.17.243,2,2,0.00,244.33,0.00,N/A
162.159.0.33,2,2,0.00,244.34,0.00,N/A
172.65.60.51,2,2,0.00,244.86,0.00,N/A
104.16.51.171,2,2,0.00,244.91,0.00,N/A
104.16.45.232,2,2,0.00,244.93,0.00,N/A
104.16.71.116,2,2,0.00,245.24,0.00,N/A
162.159.12.87,2,2,0.00,245.36,0.00,N/A
104.16.44.3,2,2,0.00,245.38,0.00,N/A
104.21.20.193,2,2,0.00,245.58,0.00,N/A
172.66.152.177,2,2,0.00,245.62,0.00,N/A
172.66.153.208,2,2,0.00,245.62,0.00,N/A
104.21.18.12,2,2,0.00,245.83,0.00,N/A
104.21.16.165,2,2,0.00,245.84,0.00,N/A
104.21.15.7,2,2,0.00,245.84,0.00,N/A
172.66.141.110,2,2,0.00,245.89,0.00,N/A
104.16.70.187,2,2,0.00,245.98,0.00,N/A
108.162.192.200,2,2,0.00,246.01,0.00,N/A
141.101.121.186,2,2,0.00,246.09,0.00,N/A
188.114.96.6,2,2,0.00,246.10,0.00,N/A
104.16.42.207,2,2,0.00,246.16,0.00,N/A
172.66.147.56,2,2,0.00,246.23,0.00,N/A
172.66.146.204,2,2,0.00,246.23,0.00,N/A
172.66.144.18,2,2,0.00,246.23,0.00,N/A
172.66.151.146,2,2,0.00,246.23,0.00,N/A
172.66.148.187,2,2,0.00,246.23,0.00,N/A
172.66.145.197,2,2,0.00,246.23,0.00,N/A
141.101.122.62,2,2,0.00,246.26,0.00,N/A
108.162.195.8,2,2,0.00,246.26,0.00,N/A
108.162.193.150,2,2,0.00,246.26,0.00,N/A
141.101.123.153,2,2,0.00,246.26,0.00,N/A
108.162.194.222,2,2,0.00,246.26,0.00,N/A
188.114.99.85,2,2,0.00,246.35,0.00,N/A
188.114.98.224,2,2,0.00,246.35,0.00,N/A
188.114.97.118,2,2,0.00,246.35,0.00,N/A
104.21.17.136,2,2,0.00,246.39,0.00,N/A
172.66.149.30,2,2,0.00,246.49,0.00,N/A
172.66.154.217,2,2,0.00,246.55,0.00,N/A
104.16.69.236,2,2,0.00,246.58,0.00,N/A
141.101.120.213,2,2,0.00,246.61,0.00,N/A
172.66.140.194,2,2,0.00,246.75,0.00,N/A
